use,category,model_number,name,name,country,designer,contributor,publisher,material,description,description,height,width,price,file_name
paper_groups_properties,paper_groups_properties,papers,paper_groups,papers,paper_groups_properties,paper_groups_properties,paper_groups_properties,paper_groups_properties,paper_groups_properties,paper_groups,papers,paper_groups,paper_groups,papers,papers
string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
貼紙,BOX & NEEDLE ORIGINAL PAPER,PAPER-30,puntopunto,orange,Japan,葵・フーバー・河野,友禅工房,BOX & NEEDLE,,イラストレーター・絵本作家として、スイスで長きにわたり活動を続けている葵・フーバー・河野さん（studio puntovirgola）とコラボレーションをした、BOX&NEEDLE のオリジナルペーパーです。「puntopunto（プントプント）」と名づけられたこの紙は、友禅紙専門の工房で和紙に一枚いちまい手刷りされています。「プント」とはスペイン語で「点」という意味。,柔らかなオレンジ・グリーン・イエローの”点々”が織りなす、愛らしくて優しい世界が広がっています。,995,640,1200,106399551.jpg
貼紙,BOX & NEEDLE ORIGINAL PAPER,PAPER-26,puntopunto,red,Japan,葵・フーバー・河野,友禅工房,BOX & NEEDLE,,イラストレーター・絵本作家として、スイスで長きにわたり活動を続けている葵・フーバー・河野さん（studio puntovirgola）とコラボレーションをした、BOX&NEEDLE のオリジナルペーパーです。「puntopunto（プントプント）」と名づけられたこの紙は、友禅紙専門の工房で和紙に一枚いちまい手刷りされています。「プント」とはスペイン語で「点」という意味。,鮮やかな赤・青・黄色の”点々”が織りなす、愛らしくて柔らかい世界が広がっています。,995,640,1200,96159322.jpg
貼紙,BOX & NEEDLE ORIGINAL PAPER,PAPER-25,EXPO,,Japan,葵・フーバー・河野,友禅工房,BOX & NEEDLE,,"イラストレーター・絵本作家として、スイスで長きにわたり活動を続けているフーバー・葵さんとコラボレーションをした、BOX&NEEDLE のオリジナルペーパーです。 「EXPO（エキスポ）」と名づけられたこの紙は、友禅紙専門の工房で和紙に一枚いちまい手刷りされています。赤や緑、紫など色の重なりが魅力的。グラフィカルなデザインに楽しい色づかいが目を惹きます。",,995,640,1200,96159276.jpg
貼紙,BOX & NEEDLE ORIGINAL PAPER,PAPER-egg-02,PARTY CROWD,pink,Japan,,egg press;友禅工房,BOX & NEEDLE,,ポートランドの活版印刷カードメーカー「egg press」とコラボレーションをした、BOX&NEEDLE のオリジナルペーパー。\n「PARTY CROWD」と名づけられたこの紙は、友禅紙専門の工房で和紙に一枚いちまい手刷りされています。楽しそうにはしゃぐ子どもたちが列をなす、賑やかでわくわくするデザイン。\n\n【egg press】\n活版印刷の復活を担うパイオニアの一社として、egg pressは世界中から注目を集めています。一枚いちまい丁寧に刷られているegg pressのグリーティングカード。そのデザインの最大の特徴とも言えるのが、ユニークな手書きのイラストです。やわらかな線で描かれたそのイラストは素朴でユーモアに溢れ、思わず笑みがこぼれるものばかり。独特のカラーセンスも光るそのデザインは多くの人々の心を惹き付けています。,オレンジ色味がかったサーモンピンクが、かわいさと楽しさを強調しているピンクです。,995,640,1200,100877728.jpg
貼紙,BOX & NEEDLE ORIGINAL PAPER,PAPER-egg-01,PARTY CROWD,blue,Japan,,egg press;友禅工房,BOX & NEEDLE,,ポートランドの活版印刷カードメーカー「egg press」とコラボレーションをした、BOX&NEEDLE のオリジナルペーパー。\n「PARTY CROWD」と名づけられたこの紙は、友禅紙専門の工房で和紙に一枚いちまい手刷りされています。楽しそうにはしゃぐ子どもたちが列をなす、賑やかでわくわくするデザイン。\n\n【egg press】\n活版印刷の復活を担うパイオニアの一社として、egg pressは世界中から注目を集めています。一枚いちまい丁寧に刷られているegg pressのグリーティングカード。そのデザインの最大の特徴とも言えるのが、ユニークな手書きのイラストです。やわらかな線で描かれたそのイラストは素朴でユーモアに溢れ、思わず笑みがこぼれるものばかり。独特のカラーセンスも光るそのデザインは多くの人々の心を惹き付けています。,やわらかい水色とブラウンの線がちょっぴり大人っぽいブルーです。,995,640,1200,100877259.jpg
貼紙,BOX & NEEDLE ORIGINAL PAPER,PAPER-27,APPLE,,Japan,本田このみ,友禅工房,BOX & NEEDLE,,「Green Curtain」「ice」などの作者である、木版作家 本田このみが手がけた、BOX&NEEDLEのオリジナルペーパーシリーズ。「APPLE」と名づけられたこの紙は、様々なりんごたちがリズミカルに描かれており、優しい色使いと愛らしいデザインが魅力的。友禅紙専門の工房で和紙に一枚いちまい手刷りされてるので、和紙の優しい手触りもお楽しみいただけます。,,995,640,1000,101142096.jpg
貼紙,BOX & NEEDLE ORIGINAL PAPER,PAPER-24,WOOL,,Japan,,友禅工房,BOX & NEEDLE,,こちらの紙はBOX & NEEDLEのオリジナルペーパー【WOOL】(ウール）です。木彫りの版を幾重にも重ねて丁寧に刷り上げた木版画を原画に、友禅紙専門の工房で和紙に一枚いちまい手刷りされています。毛糸の編み目をイメージしたデザインが、暖かな色で描かれています。日本の和紙ならではの柔らかな質感と豊かな色彩の織りなすバランスをお楽しみください。,,995,640,1000,95704000.jpg
貼紙,BOX & NEEDLE ORIGINAL PAPER,PAPER-JG-01,Doris,Yellow,Japan,,Johanna Gullichsen;友禅工房,BOX & NEEDLE,,フィンランドを代表するテキスタイルブランドJohanna Gullichsen（ヨハンナ・グリクセン）。シンプルありながら豊かなカラーバリエーションが魅力のフィンランドの伝統的な手法で織られています。その中でもヨハンナ・グリクセンを代表する幾何学模様のデザイン［Doris］を和紙の上に再現しました。テキスタイルの表情を織り模様まで丁寧に友禅工房の職人が刷り上げ、フィンランドと京都の伝統の技を集約した、BOX&NEEDLEのオリジナルペーパーが誕生しました。,こちらは柔らかく温かみのあるイエローです。,995,640,1200,100526680.jpg
貼紙,BOX & NEEDLE ORIGINAL PAPER,PAPER-JG-02,Doris,Blue,Japan,,Johanna Gullichsen;友禅工房,BOX & NEEDLE,,フィンランドを代表するテキスタイルブランドJohanna Gullichsen（ヨハンナ・グリクセン）。シンプルありながら豊かなカラーバリエーションが魅力のフィンランドの伝統的な手法で織られています。その中でもヨハンナ・グリクセンを代表する幾何学模様のデザイン［Doris］を和紙の上に再現しました。テキスタイルの表情を織り模様まで丁寧に友禅工房の職人が刷り上げ、フィンランドと京都の伝統の技を集約した、BOX&NEEDLEのオリジナルペーパーが誕生しました。,こちらは爽やかで深みのあるブルーです。,995,640,1200,100526691.jpg
貼紙,BOX & NEEDLE ORIGINAL PAPER,PAPER-JG-03,Doris,Black,Japan,,Johanna Gullichsen;友禅工房,BOX & NEEDLE,,フィンランドを代表するテキスタイルブランドJohanna Gullichsen（ヨハンナ・グリクセン）。シンプルありながら豊かなカラーバリエーションが魅力のフィンランドの伝統的な手法で織られています。その中でもヨハンナ・グリクセンを代表する幾何学模様のデザイン［Doris］を和紙の上に再現しました。テキスタイルの表情を織り模様まで丁寧に友禅工房の職人が刷り上げ、フィンランドと京都の伝統の技を集約した、BOX&NEEDLEのオリジナルペーパーが誕生しました。,こちらは上品で落ち着きのあるブラックです。,995,640,1200,100526713.jpg
貼紙,BOX & NEEDLE ORIGINAL PAPER,PAPER-29,PICNIC,Pink,Nepal,鹿児島睦,前田景,BOX & NEEDLE,ロクタペーパー,陶芸作家であり様々な分野でご活躍の鹿児島睦さんと、アートディレクターの前田景さんによる、BOX&NEEDLE のオリジナルペーパーです。ネパール語の読みで「ピカニカ／PICNIC（ピクニック）」と名付けられたこちらの紙は、あたたかい風合いが魅力のロクタペーパーにプリント。一枚いちまい手漉きされた紙にシルクスクリーンで手刷りされており、制作はすべてネパールで行われています。【ロクタペーパーについて】標高2000～3000mに生息するネパール原産の植物「ロクタ」の樹皮を原料として作られています。手透きの紙の為、紙の中に植物の繊維や樹皮等の混入、紙制作時に生じるシワが入る事がございます。あらかじめご了承下さいますようお願い申し上げます。,ピクニックに向かうウキウキとした気持ちを思わせる「ピンク×ナチュラル」。ロクタペーパーならではのザラリとした触り心地と、植物のかけらが混ざり合った表面は、鹿児島さんが制作されている器に通ずるものを感じます。,500,750,1000,101658275.jpg
貼紙,BOX & NEEDLE ORIGINAL PAPER,PAPER-28,PICNIC,White,Nepal,鹿児島睦,前田景,BOX & NEEDLE,ロクタペーパー,陶芸作家であり様々な分野でご活躍の鹿児島睦さんと、アートディレクターの前田景さんによる、BOX&NEEDLE のオリジナルペーパーです。ネパール語の読みで「ピカニカ／PICNIC（ピクニック）」と名付けられたこちらの紙は、あたたかい風合いが魅力のロクタペーパーにプリント。一枚いちまい手漉きされた紙にシルクスクリーンで手刷りされており、制作はすべてネパールで行われています。【ロクタペーパーについて】標高2000～3000mに生息するネパール原産の植物「ロクタ」の樹皮を原料として作られています。手透きの紙の為、紙の中に植物の繊維や樹皮等の混入、紙制作時に生じるシワが入る事がございます。あらかじめご了承下さいますようお願い申し上げます。,穏やかな風と自然の力強さを思わせる「ホワイト×サンド」。ロクタペーパーならではのザラリとした触り心地と、植物のかけらが混ざり合った表面は、鹿児島さんが制作されている器に通ずるものを感じます。,500,750,1000,101657796.jpg
貼紙,BOX & NEEDLE ORIGINAL PAPER,PAPER-23,FLEURS BLEUES,,Japan ,鹿児島睦,前田景,BOX & NEEDLE,,陶芸作家であり様々な分野でご活躍の鹿児島睦さんと、アートディレクターの前田景さんによる、BOX&NEEDLE のオリジナルペーパーです。フランス語で『FLEURS BLEUES（青い花）』という意味をもつこちらのデザインは、 和紙のような手触りが感じられるクラフト系の紙に再現しています。強度も高く加工がしやすいのが特徴。陶器の肌の質感までも伝わってくるようなプリントに仕上がりました。防水性の紙【LASTING PAPER】シリーズにも柄が小ぶりな「FLEURS BLEUES」がございます。,,620,875,1000,93000912.jpg
貼紙,BOX & NEEDLE ORIGINAL PAPER,PAPER-19,KUKINTA,Yellow,Japan,鹿児島睦,前田景;友禅工房,BOX & NEEDLE,,陶芸作家であり様々な分野でご活躍の鹿児島睦さんと、アートディレクターの前田景さんによる、BOX&NEEDLE のオリジナルペーパーです。「KUKINTA」（花盛り）と名づけられたこの紙は、友禅紙専門の工房で和紙に一枚いちまい手刷りされています。,やさしい山吹色の花や葉っぱに描かれた銀色の線が、繊細に盛り上がっており、手触りもご堪能いただけるオリジナルペーパーです。 ,995,640,1200,74339560.png
貼紙,BOX & NEEDLE ORIGINAL PAPER,PAPER-18,KUKINTA,Brown,Japan,鹿児島睦,前田景;友禅工房,BOX & NEEDLE,,陶芸作家であり様々な分野でご活躍の鹿児島睦さんと、アートディレクターの前田景さんによる、BOX&NEEDLE のオリジナルペーパーです。「KUKINTA」（花盛り）と名づけられたこの紙は、友禅紙専門の工房で和紙に一枚いちまい手刷りされています。,茶色地にお花や葉っぱがいきいきと伸びる、有機的なデザインです。手触りでインクの盛り上がりが堪能できる、手仕事のあたたかみを感じられる一品です。,995,640,1200,74339525.png
貼紙,BOX & NEEDLE ORIGINAL PAPER,PAPER-17,FLOWERS,IN THE MORNING,Japan,鹿児島睦,前田景,BOX & NEEDLE,,陶芸作家であり様々な分野でご活躍の鹿児島睦さんと、アートディレクターの前田景さんによる、BOX&NEEDLE オリジナルペーパーです。2013年にdoinelで開催された「鹿児島睦の図案展」での図案が、本商品のコンセプトとなっております。,「FLOWERS IN THE MORNING」と名づけられたこの紙は、ふっくらとした質感の紙に鹿児島睦さんの陶器の花たちが並んでいます。アイボリー地に陶器の花たちが映え、瑞々しい朝の空気が漂ってくるようです。一筆一筆、鹿児島さんの筆づかいまでも感じられそうな、繊細なプリントです。 ,500,700,1000,74339501.jpg
貼紙,BOX & NEEDLE ORIGINAL PAPER,PAPER-16,FLOWERS,IN THE DARK,Japan,鹿児島睦,前田景,BOX & NEEDLE,,陶芸作家であり様々な分野でご活躍の鹿児島睦さんと、アートディレクターの前田景さんによる、BOX&NEEDLE オリジナルペーパーです。2013年にdoinelで開催された「鹿児島睦の図案展」での図案が、本商品のコンセプトとなっております。,「FLOWERS IN THE DARK」と名づけられたこの紙は、ふっくらとした質感の紙に鹿児島睦さんの陶器の花たちが並んでいます。アイボリーブラックの地に、淡い色合いの花たちが幻想的に浮かび上がります。一筆一筆、鹿児島さんの筆づかいまでも感じられそうな、繊細なプリントです。 ,500,700,1000,74339463.jpg
貼紙,BOX & NEEDLE ORIGINAL PAPER,PAPER-16,Green Curtain,,Japan,,友禅工房,BOX & NEEDLE,,こちらの紙はBOX&NEEDLE オリジナルペーパー“GREEN CURTAIN”です。イメージは夏に生い茂る植物、作者の実家の葡萄の木から。碧々と広がる葉は木陰を作り、そこには涼の空間が生まれます。グリーンベースに色とりどりの植物が描かれ、幾重にも重なったカーテンが魅力的なデザイン。ざらりとした独特の質感は京都の友禅工房で刷られています。 ,,995,640,1000,62611960.jpg
貼紙,BOX & NEEDLE ORIGINAL PAPER,PAPER-15,ice,,Japan,本田このみ,友禅工房,BOX & NEEDLE,,こちらの紙はBOX & NEEDLEのオリジナルペーパー【ice】(アイス）です。木彫りの版を幾重にも重ねて丁寧に刷り上げた木版画を原画に、京都の友禅工房で刷られています。氷をイメージしたデザインは、繊細なブルーが重なり合い、どこかあたたかな雰囲気をあわせもつ美しい幾何学模様です。日本の和紙ならではの柔らかな質感と豊かな色彩の織りなすバランスをお楽しみください。 ,,995,640,1000,58566932.jpg
貼紙,BOX & NEEDLE ORIGINAL PAPER,PAPER-14,Tender Green,,Japan,,友禅工房,BOX & NEEDLE,,"こちらの紙はBOX & NEEDLEのオリジナルペーパー【Tender Green】(テンダー・グリーン）です。""野草の散歩道""をイメージソースに出来上がった図案は、色鉛筆によって描かれた温もりのある描き味と丁寧に塗り込めることで生まれる独特のマットな質感を表現しています。鮮やかなライトグリーンが軽やかなポイントに。素朴で瑞々しい春の野草を想像させるカジュアルなデザインです。",,500,700,500,58264145.jpg
貼紙,BOX & NEEDLE ORIGINAL PAPER,PAPER-12,NUMBER,cream,Japan,SETSU,友禅工房,BOX & NEEDLE,,こちらの紙は京都の友禅工房で刷られたBOX & NEEDLEのファーストオリジナルペーパーです。 手彫りの版は、SETSUのデザインによるもの。いくつもの模様を自由に組み合わせることで出来上がった数字は、よく見るとひとつとして同じ数字のデザインはありません。まるで数字のオートクチュールのよう。ひとつひとつ大切に押された数字たちは指で触れるとわずかに盛り上がりがあり、ざらっとした和紙の質感と独特の香りがなんとも言えません。見て触れて楽しんで頂きたいオリジナルペーパーです。,こちらはクリーム色の地にグリーンでふっくらと数字が浮かび上がっています。,995,640,1000,41905095.jpg
貼紙,BOX & NEEDLE ORIGINAL PAPER,PAPER-8,NUMBER,green,Japan,SETSU,友禅工房,BOX & NEEDLE,,こちらの紙は京都の友禅工房で刷られたBOX & NEEDLEのファーストオリジナルペーパーです。 手彫りの版は、SETSUのデザインによるもの。いくつもの模様を自由に組み合わせることで出来上がった数字は、よく見るとひとつとして同じ数字のデザインはありません。まるで数字のオートクチュールのよう。ひとつひとつ大切に押された数字たちは指で触れるとわずかに盛り上がりがあり、ざらっとした和紙の質感と独特の香りがなんとも言えません。見て触れて楽しんで頂きたいオリジナルペーパーです。,こちらはみどり色の地に青でふっくらと数字が浮かび上がっています。 ,995,640,1000,41904928.jpg
貼紙,BOX & NEEDLE ORIGINAL PAPER,PAPER-7,NUMBER,pink,Japan,SETSU,友禅工房,BOX & NEEDLE,,こちらの紙は京都の友禅工房で刷られたBOX & NEEDLEのファーストオリジナルペーパーです。 手彫りの版は、SETSUのデザインによるもの。いくつもの模様を自由に組み合わせることで出来上がった数字は、よく見るとひとつとして同じ数字のデザインはありません。まるで数字のオートクチュールのよう。ひとつひとつ大切に押された数字たちは指で触れるとわずかに盛り上がりがあり、ざらっとした和紙の質感と独特の香りがなんとも言えません。見て触れて楽しんで頂きたいオリジナルペーパーです。,こちらは鮮やかなピンク色の地に黄色でふっくらと数字が浮かび上がっています。,995,640,1000,41904903.jpg
貼紙,BOX & NEEDLE ORIGINAL PAPER,PAPER-4,NUMBER,deep blue,Japan,SETSU,友禅工房,BOX & NEEDLE,,こちらの紙は京都の友禅工房で刷られたBOX & NEEDLEのファーストオリジナルペーパーです。 手彫りの版は、SETSUのデザインによるもの。いくつもの模様を自由に組み合わせることで出来上がった数字は、よく見るとひとつとして同じ数字のデザインはありません。まるで数字のオートクチュールのよう。ひとつひとつ大切に押された数字たちは指で触れるとわずかに盛り上がりがあり、ざらっとした和紙の質感と独特の香りがなんとも言えません。見て触れて楽しんで頂きたいオリジナルペーパーです。,夜の空のような濃紺に上品なゴールドでふっくらと浮かび上がっています。外観のクールな印象と内貼りの明るい黄色のコントラストが絶妙です。,995,640,1000,26910025.jpg
貼紙,BOX & NEEDLE ORIGINAL PAPER,PAPER-2,NUMBER,red,Japan,SETSU,友禅工房,BOX & NEEDLE,,こちらの紙は京都の友禅工房で刷られたBOX & NEEDLEのファーストオリジナルペーパーです。 手彫りの版は、SETSUのデザインによるもの。いくつもの模様を自由に組み合わせることで出来上がった数字は、よく見るとひとつとして同じ数字のデザインはありません。まるで数字のオートクチュールのよう。ひとつひとつ大切に押された数字たちは指で触れるとわずかに盛り上がりがあり、ざらっとした和紙の質感と独特の香りがなんとも言えません。見て触れて楽しんで頂きたいオリジナルペーパーです。,こちらは紙の素の白い地に朱赤でふっくらと数字が浮かび上がっています。,995,640,1000,26909765.jpg
貼紙,Tudi Billo Paper_groups,PAPER TB-27,blossoms from dots,gray,Nepal,,,Tudi Billo Paper_groups,,ドイツのペーパープロダクト「Tudi Billo Paper_groups」社のロクタペーパー。デザインはドイツで行い、紙の製作はネパールで手がけています。手漉きによるあたたかみのある風合いが魅力のネパール製の紙。標高2000～3000mに生息するネパール原産の植物「ロクタ」の樹皮を原料として作られています。,こちらは、細かな灰がかった緑色のドットで構成された小花柄です。黄色や青のカラフルなカラーリングがポイントに。,500,750,800,103741788.jpg
貼紙,Tudi Billo Paper_groups,PAPER TB-26,blossoms from dots,young green,Nepal,,,Tudi Billo Paper_groups,,ドイツのペーパープロダクト「Tudi Billo Paper_groups」社のロクタペーパー。デザインはドイツで行い、紙の製作はネパールで手がけています。手漉きによるあたたかみのある風合いが魅力のネパール製の紙。標高2000～3000mに生息するネパール原産の植物「ロクタ」の樹皮を原料として作られています。,こちらは、細かなドットで構成された小花柄です。黄色や青のカラフルなカラーリングがポイントに。,500,750,800,103741537.jpg
貼紙,Tudi Billo Paper_groups,PAPER TB-25,small flower,,Nepal,,,Tudi Billo Paper_groups,,ドイツのペーパープロダクト「Tudi Billo Paper_groups」社のロクタペーパー。デザインはドイツで行い、紙の製作はネパールで手がけています。手漉きによるあたたかみのある風合いが魅力のネパール製の紙。標高2000～3000mに生息するネパール原産の植物「ロクタ」の樹皮を原料として作られています。,こちらは、アクアブルー×マゼンタピンクの鮮やかな小花柄です。,500,750,800,103741371.jpg
貼紙,Tudi Billo Paper_groups,PAPER TB-23,Paisley,,Nepal,,,Tudi Billo Paper_groups,,ドイツのペーパープロダクト「Tudi Billo Paper_groups」社のロクタペーパー。デザインはドイツで行い、紙の製作はネパールで手がけています。手漉きによるあたたかみのある風合いが魅力のネパール製の紙。標高2000～3000mに生息するネパール原産の植物「ロクタ」の樹皮を原料として作られています。,こちらは、鮮やかグリーンにアクアブルーと黄色で構成されたペイズリー柄です。,500,750,800,103740651.jpg
貼紙,Tudi Billo Paper_groups,PAPER TB-24,SAKURA,,Nepal,,,Tudi Billo Paper_groups,,ドイツのペーパープロダクト「Tudi Billo Paper_groups」社のロクタペーパー。デザインはドイツで行い、紙の製作はネパールで手がけています。手漉きによるあたたかみのある風合いが魅力のネパール製の紙。標高2000～3000mに生息するネパール原産の植物「ロクタ」の樹皮を原料として作られています。,こちらは、桜の木が大胆に描かれているモダンなデザインです。,500,750,800,103740766.jpg
貼紙,Tudi Billo Paper_groups,PAPER TB-22,trees,,Nepal,,,Tudi Billo Paper_groups,,ドイツのペーパープロダクト「Tudi Billo Paper_groups」社のロクタペーパー。デザインはドイツで行い、紙の製作はネパールで手がけています。手漉きによるあたたかみのある風合いが魅力のネパール製の紙。標高2000～3000mに生息するネパール原産の植物「ロクタ」の樹皮を原料として作られています。,こちらは、ロクタの地色にシルバー×ホワイトで表現された木々のデザイ。雪景色を思わせる控えめな色のバランスが特徴。,500,750,800,103740418.jpg
貼紙,Tudi Billo Paper_groups,PAPER TB-21,bouquet,,Nepal,,,Tudi Billo Paper_groups,,ドイツのペーパープロダクト「Tudi Billo Paper_groups」社のロクタペーパー。デザインはドイツで行い、紙の製作はネパールで手がけています。手漉きによるあたたかみのある風合いが魅力のネパール製の紙。標高2000～3000mに生息するネパール原産の植物「ロクタ」の樹皮を原料として作られています。,こちらは、ロクタの地色にブーケのような木々が愛らしく描かれています。女性に好まれるデザインです。,500,750,800,103740288.jpg
貼紙,Tudi Billo Paper_groups,PAPER TB-20,stripe circles,,Nepal,,,Tudi Billo Paper_groups,,ドイツのペーパープロダクト「Tudi Billo Paper_groups」社のロクタペーパー。デザインはドイツで行い、紙の製作はネパールで手がけています。手漉きによるあたたかみのある風合いが魅力のネパール製の紙。標高2000～3000mに生息するネパール原産の植物「ロクタ」の樹皮を原料として作られています。,こちらは、「stripe circles」と名付けられた、「白」「水色」「緑」で構成された爽やかなデザインです。,500,750,800,103740243.jpg
貼紙,Tudi Billo Paper_groups,PAPER TB-19,Star flower,,Nepal,,,Tudi Billo Paper_groups,,ドイツのペーパープロダクト「Tudi Billo Paper_groups」社のロクタペーパー。デザインはドイツで行い、紙の製作はネパールで手がけています。手漉きによるあたたかみのある風合いが魅力のネパール製の紙。標高2000～3000mに生息するネパール原産の植物「ロクタ」の樹皮を原料として作られています。,こちらは、星の形をしている白い花が愛らしい花柄。地色のラベンダーとお花の白×黄色がポイントに。,500,750,800,103740215.jpg
貼紙,Tudi Billo Paper_groups,PAPER TB-18,lime green,,Nepal,,,Tudi Billo Paper_groups,,ドイツのペーパープロダクト「Tudi Billo Paper_groups」社のロクタペーパー。デザインはドイツで行い、紙の製作はネパールで手がけています。手漉きによるあたたかみのある風合いが魅力のネパール製の紙。標高2000～3000mに生息するネパール原産の植物「ロクタ」の樹皮を原料として作られています。,こちらは、爽やかなライムグリーンがお花の愛らしさを際立たせています。,500,750,800,103740196.jpg
貼紙,Tudi Billo Paper_groups,PAPER TB-17,yellow flower,,Nepal,,,Tudi Billo Paper_groups,,ドイツのペーパープロダクト「Tudi Billo Paper_groups」社のロクタペーパー。デザインはドイツで行い、紙の製作はネパールで手がけています。手漉きによるあたたかみのある風合いが魅力のネパール製の紙。標高2000～3000mに生息するネパール原産の植物「ロクタ」の樹皮を原料として作られています。,こちらは、ロクタの地色に黄色の花が描かれており、差し色の紫色がポイントなっています。,500,750,800,103740144.jpg
貼紙,Tudi Billo Paper_groups,PAPER TB-16,leaf blossom,,Nepal,,,Tudi Billo Paper_groups,,ドイツのペーパープロダクト「Tudi Billo Paper_groups」社のロクタペーパー。デザインはドイツで行い、紙の製作はネパールで手がけています。手漉きによるあたたかみのある風合いが魅力のネパール製の紙。標高2000～3000mに生息するネパール原産の植物「ロクタ」の樹皮を原料として作られています。,こちらは、ロクタの地色に「白」と「金」で葉の花が可憐に描かれています。,500,750,800,103739712.jpg
貼紙,Tudi Billo Paper_groups,PAPER TB-15,nuts,,Nepal,,,Tudi Billo Paper_groups,,ドイツのペーパープロダクト「Tudi Billo Paper_groups」社のロクタペーパー。デザインはドイツで行い、紙の製作はネパールで手がけています。手漉きによるあたたかみのある風合いが魅力のネパール製の紙。標高2000～3000mに生息するネパール原産の植物「ロクタ」の樹皮を原料として作られています。,こちらは、ロクタの地色に「金」「銀」「銅」で木の実のようなモチーフが描かれています。,500,750,800,103739672.jpg
貼紙,Tudi Billo Paper_groups,PAPER TB-14,lemons,,Nepal,,,Tudi Billo Paper_groups,,ドイツのペーパープロダクト「Tudi Billo Paper_groups」社のロクタペーパー。デザインはドイツで行い、紙の製作はネパールで手がけています。手漉きによるあたたかみのある風合いが魅力のネパール製の紙。標高2000～3000mに生息するネパール原産の植物「ロクタ」の樹皮を原料として作られています。,こちらは、ロクタの地色に「金」「銀」「銅」でレモンが描かれています。差し色の緑の葉もポイントになっています。,500,750,800,103739220.jpg
貼紙,Tudi Billo Paper_groups,PAPER TB-13,ships,,Nepal,,,Tudi Billo Paper_groups,,ドイツのペーパープロダクト「Tudi Billo Paper_groups」社のロクタペーパー。デザインはドイツで行い、紙の製作はネパールで手がけています。手漉きによるあたたかみのある風合いが魅力のネパール製の紙。標高2000～3000mに生息するネパール原産の植物「ロクタ」の樹皮を原料として作られています。,こちらは、ブルーと白で描かれた、爽やかな船のデザインです。,500,750,800,103417492.jpg